用户		电影		预测rating		实际rating
1751		1198		4.0		4.5 
1751		5690		3.5		4.5 
1751		1278		3.5		4.0 
1751		3671		3.5		3.5 
1751		52		4.0		3.5 
1751		2946		3.5		3.5 
1751		7485		3.5		3.0 
1751		2324		4.0		2.0 
1751		27721		4.0		3.5 
1751		6163		3.5		3.5 
1751		953		3.5		4.0 
1751		4014		3.5		3.5 
1751		4025		3.5		2.5 
1751		1306		4.5		3.0 
1751		2905		3.5		4.0 
1751		7173		3.5		2.0 
1751		1678		4.5		3.5 
1751		5066		3.5		2.0 
1751		5673		4.0		4.0 
1751		1211		3.5		4.0 
1751		4447		3.5		3.0 
1751		468		2.5		3.5 
1751		930		3.0		4.0 
1751		527		3.5		4.0 
1751		2410		1.5		3.5 
1751		1245		4.5		4.0 
1751		6985		3.5		3.5 
1751		5872		3.0		2.5 
1751		1673		3.5		3.5 
1751		3688		3.5		3.0 
1751		965		3.0		3.5 
1751		342		3.0		3.5 
1751		4246		3.5		3.5 
1751		5349		3.5		4.0 
1751		1732		4.0		3.5 
1751		2968		4.0		4.0 
1751		6534		3.0		2.0 
1751		908		4.0		4.0 
1751		1639		3.5		3.0 
1751		32		4.0		4.0 
1751		7438		3.5		4.0 
1751		2100		1.5		3.5 
1988		5218		2.5		3.5 
2039		3897		1.0		3.5 
2053		7318		3.0		0.5 
2102		50792		4.5		4.5 
2218		2968		4.0		4.0 
2218		1199		4.0		4.0 
2276		46970		3.5		4.5 
2276		47640		5.0		5.0 
2429		358		2.0		3.0 
2471		6874		3.5		4.0 
2471		296		4.5		4.5 
2471		53519		4.5		4.0 
2477		4447		2.5		3.0 
2589		3114		2.5		3.0 
2643		3160		3.5		3.5 
2643		8874		4.5		4.5 
2643		1080		4.0		4.5 
2643		2296		5.0		4.0 
2643		2858		4.0		4.5 
2643		46322		4.0		3.5 
2643		48982		3.5		3.5 
2643		8947		2.5		0.5 
2643		56174		4.5		4.0 
2643		493		3.5		3.5 
2643		8981		3.5		3.5 
2643		2723		3.5		3.5 
2643		40732		3.0		2.0 
2643		49278		4.0		3.5 
2643		39715		2.5		3.0 
2643		4621		3.5		3.0 
2643		55765		5.0		4.0 
2643		4011		4.5		4.0 
2643		46578		4.0		4.5 
2643		56782		4.5		4.0 
2643		4226		4.0		4.0 
2643		2324		4.0		4.5 
2643		1089		4.0		4.0 
2643		54001		3.5		3.5 
2643		48774		4.0		4.0 
2643		55247		3.5		3.0 
2643		8949		4.0		4.5 
2643		288		3.5		3.5 
2643		1258		4.5		4.0 
2643		296		4.5		4.0 
2643		63113		4.0		3.5 
2643		48142		4.0		3.5 
2643		165		4.0		4.0 
2643		32587		4.5		4.5 
2643		1961		3.5		3.5 
2643		53000		3.5		3.0 
2732		8961		4.5		5.0 
2842		4027		2.5		4.0 
2842		2683		2.5		3.0 
2852		1547		3.5		3.5 
2852		40826		4.0		3.0 
2852		40629		4.0		4.0 
2901		2485		4.0		4.0 
2901		1907		4.0		2.5 
2901		2872		3.5		4.0 
2904		2535		2.5		3.5 
3057		36708		4.5		4.5 
3057		55280		4.5		4.5 
3057		7138		4.5		3.5 
3106		4774		3.0		3.5 
3106		37727		3.0		3.0 
3174		45499		3.0		4.0 
3271		4720		3.5		3.5 
3301		1225		3.0		5.0 
3301		6303		3.5		4.0 
3301		147		3.0		3.0 
3301		1339		3.5		3.5 
3301		4474		2.5		4.0 
3301		6787		3.0		5.0 
3304		3396		2.5		3.0 
3304		1209		3.5		4.5 
3304		7247		3.5		4.0 
3304		3262		3.0		3.5 
3304		1089		3.5		5.0 
3304		3255		2.5		1.5 
3304		30810		3.5		5.0 
3304		339		2.5		1.0 
3369		4019		5.0		4.5 
3392		5502		4.5		3.0 
3392		1370		3.0		2.0 
3392		6502		4.5		4.0 
3392		5679		3.0		4.0 
3392		52281		4.0		4.0 
3392		1245		3.0		3.0 
3392		5481		3.0		3.0 
3392		70		3.5		4.0 
3541		4848		4.5		4.0 
3541		6197		3.5		3.5 
3541		1639		3.5		3.5 
3541		5508		4.0		4.5 
3541		508		3.5		3.5 
3976		6944		2.5		4.0 
4002		1175		2.5		4.5 
4022		5618		4.5		4.5 
4022		1537		4.5		4.5 
4022		2948		4.0		3.5 
4022		48304		4.0		3.5 
4022		56174		4.5		3.0 
4022		1953		4.0		3.0 
4022		1212		4.5		4.0 
4022		5621		4.5		2.0 
4022		8961		4.5		4.5 
4022		45081		4.5		4.0 
4022		7569		3.5		4.0 
4078		7410		4.0		3.5 
4078		26138		4.0		4.0 
4078		7205		4.0		4.0 
4078		3074		4.0		3.0 
4078		6409		4.0		4.0 
4078		6437		4.0		4.0 
4078		3947		4.0		3.5 
4146		26313		4.0		5.0 
4146		3093		4.0		5.0 
4146		1219		4.0		4.5 
4146		431		4.0		4.0 
4341		983		4.0		4.5 
4341		3730		4.0		5.0 
4341		7023		4.0		4.5 
4341		2291		4.5		4.5 
4341		4848		4.5		4.5 
4341		1208		4.0		4.0 
4341		4017		4.0		5.0 
4341		1419		4.0		4.5 
4341		4878		4.5		5.0 
4341		5618		5.0		5.0 
4341		26662		3.5		3.0 
4341		2810		3.5		3.0 
4341		1527		4.5		2.5 
4341		3186		4.5		4.5 
4341		345		4.0		4.0 
4341		4763		4.0		5.0 
4341		4020		3.0		4.5 
4341		2959		4.5		5.0 
4341		176		4.0		4.0 
4341		2908		4.0		5.0 
4341		39183		3.5		2.5 
4341		5690		3.5		3.5 
4341		6591		5.0		4.5 
4341		2021		4.0		4.0 
4341		3996		4.5		4.5 
4341		1730		4.5		4.0 
4341		3224		4.5		4.0 
4341		6350		4.0		2.5 
4341		8973		3.5		3.0 
4341		3163		4.0		2.0 
4341		1251		5.0		5.0 
4341		33171		3.5		5.0 
4341		3547		4.0		4.0 
4352		1214		5.0		5.0 
4517		3388		5.0		4.0 
4517		910		5.0		5.0 
4517		257		5.0		5.0 
4517		4799		5.0		5.0 
4517		4804		5.0		5.0 
4517		4857		5.0		5.0 
4517		26422		5.0		5.0 
4517		3969		5.0		5.0 
4517		912		5.0		5.0 
4650		4878		5.0		5.0 
4650		8014		5.0		4.5 
4650		2959		4.0		4.0 
4650		296		5.0		5.0 
4650		7361		5.0		5.0 
4650		3949		5.0		4.5 
4650		50		4.5		5.0 
4697		5618		5.0		5.0 
4697		47		4.5		4.5 
4697		8589		3.5		4.0 
4697		32		5.0		5.0 
4697		1370		4.0		4.0 
4697		5400		3.5		3.0 
4697		1288		5.0		5.0 
4697		1641		5.0		5.0 
4697		541		5.0		5.0 
4697		1298		5.0		5.0 
4728		1207		5.0		5.0 
4827		541		5.0		5.0 
4827		8847		4.0		2.0 
4856		6539		4.5		4.0 
4856		5618		5.0		5.0 
4856		7099		4.5		4.5 
4856		3000		4.5		4.0 
5002		1270		4.0		5.0 
5002		42734		4.0		4.0 
5002		27728		4.0		2.5 
5002		1681		2.5		2.5 
5002		7789		4.0		5.0 
5002		50872		4.5		5.0 
5002		5418		3.5		2.0 
5002		7153		3.0		0.5 
5002		4993		3.5		3.0 
5002		598		4.5		4.5 
5002		1232		4.0		5.0 
5002		1884		4.5		4.5 
5002		2011		3.5		5.0 
5002		5952		3.0		1.0 
5002		480		3.0		2.0 
5031		2947		3.5		5.0 
5461		6539		2.5		4.0 
5475		348		4.5		4.5 
5494		592		4.0		4.0 
5494		377		3.5		4.0 
5494		2571		5.0		5.0 
5552		7209		4.5		4.5 
5552		34437		4.0		4.0 
5593		1292		2.5		4.5 
5706		4865		4.0		4.0 
5829		8573		2.5		4.5 
5829		39183		3.5		3.0 
5831		6331		3.5		4.0 
5917		49824		5.0		1.0 
5925		38304		2.5		5.0 
5925		26163		2.5		5.0 
5978		4720		3.0		3.0 
6119		27831		3.5		3.5 
6119		2502		4.0		3.0 
6119		356		3.5		4.0 
6119		4735		2.5		2.5 
6119		55267		3.5		3.5 
6119		1497		3.5		2.5 
6119		5400		3.5		2.5 
6119		1266		3.5		3.5 
6119		4239		3.5		4.0 
6119		7153		3.5		3.5 
6119		40148		3.5		4.0 
6119		3328		3.0		3.0 
6150		60040		2.5		3.0 
6264		34405		3.0		2.5 
6264		33794		3.0		4.5 
6264		48982		4.0		4.0 
6352		916		4.0		3.5 
6352		924		4.0		4.0 
6362		46578		4.0		4.0 
6362		4896		4.5		3.0 
6362		5618		4.5		5.0 
6362		4308		4.0		4.0 
6362		56171		4.5		3.5 
6362		8917		4.5		4.0 
6362		2571		4.5		4.5 
6362		48738		4.0		4.0 
6362		8368		4.0		5.0 
6362		26776		4.0		3.5 
6362		33162		4.5		4.0 
6362		8784		4.5		5.0 
6362		3081		4.0		4.0 
6362		2023		4.5		4.0 
6362		27878		4.0		3.5 
6362		1784		4.0		4.0 
6362		2858		4.5		5.0 
6362		5992		3.5		4.5 
6362		1641		4.5		4.5 
6362		1079		4.0		4.5 
6362		6016		4.5		4.0 
6362		8598		4.0		4.0 
6362		5902		4.0		4.0 
6362		5446		3.5		4.0 
6362		1249		4.5		5.0 
6362		41863		4.5		5.0 
6362		4306		4.0		5.0 
6362		5013		3.5		4.0 
6362		34048		4.0		4.0 
6362		39183		4.5		4.0 
6362		47		4.5		4.0 
6362		5989		4.5		3.5 
6362		45210		3.5		4.5 
6362		5956		5.0		3.5 
6362		30846		4.0		4.0 
6362		32587		4.5		3.5 
6362		56339		4.0		3.5 
6385		2571		4.0		4.5 
6385		1517		3.5		2.0 
6385		337		3.5		5.0 
6385		5349		3.5		4.0 
6385		2019		3.5		4.0 
6385		236		3.5		3.0 
6385		529		3.5		4.0 
6385		150		4.0		4.0 
6385		3113		4.5		0.5 
6385		2174		3.5		3.0 
6385		3052		3.5		4.0 
6385		5135		3.0		4.5 
6385		587		3.5		4.0 
6393		910		3.5		5.0 
6393		8701		3.0		0.5 
6393		1449		3.0		4.0 
6393		6888		1.5		0.5 
6393		1952		3.0		4.0 
6393		296		3.5		5.0 
6393		778		3.0		5.0 
6393		39183		3.5		5.0 
6393		8948		2.0		0.5 
6393		4041		3.0		1.0 
6393		6874		3.0		5.0 
6393		555		3.5		5.0 
6393		111		3.5		5.0 
6393		1244		3.0		5.0 
6393		41716		3.0		4.0 
6393		608		3.0		5.0 
6393		501		3.5		4.0 
6393		8868		3.0		0.5 
6393		2271		3.0		3.0 
6393		1104		3.0		5.0 
6393		8644		3.0		0.5 
6393		1089		3.0		5.0 
6393		7174		3.0		0.5 
6400		41573		5.0		3.0 
6400		40819		4.0		4.0 
6400		3147		4.0		5.0 
6400		41566		3.0		4.0 
6400		3578		4.0		5.0 
6400		33660		3.5		4.5 
6471		296		5.0		5.0 
6625		55830		3.5		3.0 
6758		48043		4.5		4.5 
6758		27266		4.0		3.5 
6785		6331		4.0		4.5 
6785		3812		4.0		3.5 
6785		5820		4.0		4.0 
6785		5991		3.5		4.0 
6785		1411		4.5		4.0 
6785		5878		4.5		4.5 
6785		908		4.5		4.5 
6785		4334		5.0		4.5 
6785		1610		3.5		3.5 
6785		1635		3.5		3.5 
6785		4034		4.0		4.0 
6785		3481		4.5		4.5 
6785		913		4.5		4.5 
6785		3160		5.0		4.5 
6785		5418		4.0		3.5 
6785		1584		3.0		3.5 
6785		4022		3.5		3.5 
6971		41566		3.5		3.5 
7088		5060		4.0		4.5 
7088		2948		4.0		2.5 
7088		2949		3.5		2.5 
7088		44195		3.5		3.0 
7088		6662		3.0		4.5 
7088		1125		4.5		4.5 
7088		7090		4.0		4.5 
7181		3983		5.0		5.0 
7181		858		5.0		5.0 
7181		1234		5.0		5.0 
7181		1635		5.0		5.0 
7181		2070		5.0		5.0 
7195		41285		4.5		3.5 
7248		1347		2.5		5.0 
7287		3448		4.0		4.0 
7287		1674		3.5		4.0 
7287		5481		3.5		4.0 
7287		1909		4.0		4.0 
7287		1302		3.0		3.5 
7287		1552		5.0		4.0 
7287		1393		4.0		4.5 
7287		3255		2.0		2.0 
7287		3809		4.0		4.5 
7287		30810		4.0		4.0 
7287		24		2.5		4.5 
7315		6337		3.5		3.0 
7530		4973		2.5		3.5 
7612		44665		3.0		4.0 
7704		1241		4.5		5.0 
7704		3698		4.0		4.5 
7740		57640		2.5		0.5 
7743		6711		5.0		5.0 
7815		8464		4.5		4.5 
7815		8582		4.0		4.0 
7815		8622		4.5		4.5 
7815		1827		4.5		4.5 
7919		39381		3.0		1.0 
8041		2600		2.5		3.5 
8041		53125		3.5		3.0 
8041		2329		4.0		3.0 
8041		50253		4.0		3.5 
8041		5987		4.0		2.5 
8041		27706		5.0		4.0 
8041		1573		3.5		4.0 
8041		4014		3.5		2.5 
8041		59315		3.5		3.5 
8041		45447		3.5		3.5 
8041		45722		4.5		3.0 
8041		497		4.0		5.0 
8041		1464		4.5		1.5 
8041		51694		4.0		3.0 
8041		2437		4.0		4.0 
8041		1029		5.0		4.0 
8041		3176		4.5		4.5 
8041		48774		3.5		3.5 
8041		52975		4.0		4.0 
8041		38061		4.0		4.0 
8041		46578		4.0		4.0 
8041		920		4.5		5.0 
8041		8981		4.5		4.5 
8041		1411		4.0		4.5 
8041		714		2.0		4.0 
8041		1711		4.0		4.0 
8041		45106		2.0		2.5 
8041		5617		4.5		5.0 
8041		3996		4.0		1.5 
8041		1653		4.5		5.0 
8041		7162		4.0		4.0 
8041		778		4.5		5.0 
8041		48326		4.0		3.5 
8094		39183		2.5		5.0 
8114		1850		2.5		2.5 
8114		34767		1.5		0.5 
8127		6385		2.5		4.5 
8423		2011		3.5		4.0 
8423		1097		3.5		2.0 
8423		4370		3.5		1.0 
8423		457		3.0		5.0 
8423		589		4.0		5.0 
8423		4499		3.0		1.0 
8434		3114		4.5		4.0 
8434		6539		4.5		4.5 
8610		2804		5.0		5.0 
8621		2700		2.5		5.0 
8624		5747		5.0		5.0 
8624		5380		4.5		5.0 
8624		5481		4.0		3.5 
8624		671		4.5		5.0 
8624		3405		4.0		4.5 
8624		5470		5.0		5.0 
8624		3247		5.0		4.0 
8624		39183		5.0		5.0 
8624		44193		4.0		3.5 
8624		5013		4.5		5.0 
8624		1805		5.0		5.0 
8624		4973		5.0		5.0 
8624		1784		5.0		5.0 
8624		4981		5.0		5.0 
8624		1641		4.5		4.5 
8624		357		4.5		5.0 
8624		47629		4.5		4.0 
8624		1148		4.5		5.0 
8624		4223		4.5		4.5 
8683		6755		3.0		4.0 
8683		1732		4.0		4.0 
8683		913		4.5		5.0 
8683		3872		3.5		3.0 
8683		4705		3.5		4.0 
8683		2918		4.0		4.0 
8683		163		2.5		4.5 
8683		49013		1.5		2.0 
8683		260		4.0		5.0 
8683		1895		3.5		3.5 
8683		2939		3.5		3.0 
8683		2300		3.5		5.0 
8683		25868		3.5		4.0 
8683		2328		2.0		1.5 
8683		1261		3.5		3.5 
8683		923		4.0		5.0 
8683		2478		4.0		3.5 
8683		5812		4.0		4.0 
8683		919		4.0		5.0 
8683		691		3.5		1.5 
8683		2092		3.5		2.5 
8683		318		4.5		4.5 
8683		25899		3.5		2.0 
8683		25755		3.5		4.0 
8683		2206		3.5		3.0 
8683		1784		4.5		4.0 
8683		523		4.0		3.0 
8683		51540		3.0		3.5 
8683		4621		2.0		3.5 
8683		235		4.0		4.5 
8683		946		4.0		5.0 
8683		8235		5.0		4.5 
8683		3072		3.5		4.0 
8683		2134		3.5		3.5 
8683		282		3.5		3.0 
8683		593		3.5		5.0 
8683		33836		2.5		3.0 
8683		2428		3.5		3.5 
8683		1387		4.5		3.5 
8683		2012		3.5		3.5 
8683		4564		3.5		3.5 
8683		3121		3.5		3.5 
8683		51662		4.5		4.0 
8683		2243		3.5		3.0 
8683		52722		2.5		3.5 
8683		546		3.0		2.5 
8683		908		4.0		4.0 
8683		4154		3.5		2.5 
8683		1884		4.0		4.0 
8683		4105		4.0		4.0 
8683		3754		1.5		2.5 
8683		783		2.5		3.0 
8683		12		0.5		2.0 
8683		4994		3.0		3.0 
8683		6725		3.5		1.5 
8683		6157		3.0		2.5 
8683		951		5.0		4.0 
8683		2366		3.0		5.0 
8683		1196		4.0		4.5 
8683		955		5.0		5.0 
8699		32587		5.0		4.5 
8699		5840		5.0		5.0 
8699		3160		4.5		4.5 
8699		7767		5.0		5.0 
8701		53318		2.5		4.0 
8787		5649		4.0		3.5 
8787		6350		4.5		5.0 
8787		51277		4.0		4.0 
8787		4754		5.0		3.5 
8787		26743		4.0		4.0 
8787		26811		4.0		4.0 
8787		48516		4.0		3.0 
8824		2288		5.0		5.0 
8892		1726		4.5		4.5 
8892		5418		4.0		4.0 
8892		215		4.0		5.0 
8892		6934		4.5		5.0 
8893		1923		4.5		4.0 
8930		920		4.5		5.0 
8930		4226		4.5		5.0 
8930		5784		4.5		3.5 
8930		551		5.0		5.0 
8930		43932		2.0		0.5 
8970		55284		3.5		4.0 
8970		48598		3.5		3.5 
9077		32		2.0		2.0 
9077		2502		2.0		2.0 
9117		8493		3.5		5.0 
9117		260		4.5		5.0 
9117		2373		4.0		0.5 
9117		595		3.5		3.0 
9117		5040		4.0		3.5 
9117		3448		4.5		5.0 
9117		4022		3.5		4.0 
9117		6664		4.5		0.5 
9117		1225		4.0		5.0 
9117		2916		4.0		5.0 
9117		3698		4.5		3.5 
9117		3113		3.5		1.0 
9117		1291		4.0		5.0 
9117		2096		3.5		3.0 
9117		1208		3.5		4.0 
9117		1282		3.5		3.0 
9117		4531		4.0		3.0 
9117		1204		4.0		4.0 
9117		3703		4.5		5.0 
9117		2022		4.5		4.0 
9127		6953		4.5		4.0 
9127		27801		5.0		4.5 
9245		2712		4.5		5.0 
9245		5379		5.0		5.0 
9245		3355		5.0		5.0 
9370		1617		4.5		5.0 
9415		111		4.0		5.0 
9415		48214		4.0		4.0 
9415		2176		4.0		5.0 
9475		6945		4.5		3.5 
9475		6380		4.5		5.0 
9522		6932		4.5		4.5 
9522		5008		3.5		5.0 
9522		2642		1.5		2.0 
9595		3081		4.0		5.0 
9595		27873		4.0		5.0 
9595		380		4.5		5.0 
9595		1214		4.5		4.5 
9595		1485		3.5		4.5 
9595		5004		4.0		4.0 
9595		1241		4.5		5.0 
9595		34150		4.0		3.0 
9595		26776		4.0		4.0 
9595		7371		4.5		4.5 
9595		1676		4.0		4.0 
9595		8526		4.0		2.5 
9595		5574		3.5		3.5 
9595		1136		4.5		5.0 
9595		4056		5.0		4.5 
9595		8604		4.0		3.5 
9889		61646		4.0		4.0 
9970		40819		4.5		3.0 
9970		45950		3.5		2.5 
9970		3148		4.5		2.0 
9970		2997		4.5		2.5 
10058		2762		3.0		4.0 
10058		2858		3.0		2.0 
10058		32587		3.5		3.5 
10058		4995		2.5		2.0 
10058		48516		3.0		3.0 
10058		1206		3.5		4.5 
10058		858		3.5		4.5 
10058		1921		4.0		4.5 
10058		6214		3.0		4.0 
10058		32		3.0		2.5 
10058		47		3.5		4.0 
10058		527		3.0		2.5 
10058		5608		3.0		3.0 
10084		500		4.5		5.0 
10125		7056		2.5		3.5 
10125		4881		3.0		3.5 
10125		1962		3.0		3.5 
10132		4973		4.5		5.0 
10132		1175		4.0		4.0 
10132		60037		4.0		2.5 
10132		53000		3.5		1.5 
10132		7134		4.0		4.5 
10154		97		4.0		5.0 
10154		7090		4.0		5.0 
10181		5872		4.0		4.5 
10191		33794		5.0		5.0 
10191		55908		5.0		5.0 
10191		54503		5.0		4.5 
10272		58		4.5		4.0 
10272		919		4.5		4.0 
10402		3067		3.0		4.5 
10420		1809		3.5		3.5 
10420		1944		2.0		1.0 
10420		42632		3.0		5.0 
10420		1306		3.0		5.0 
10420		8607		3.5		4.5 
10420		80		3.0		5.0 
10420		32387		3.0		5.0 
10476		26285		5.0		5.0 
10476		3070		5.0		5.0 
10476		3527		5.0		5.0 
10476		345		5.0		5.0 
10476		3740		5.0		5.0 
10476		2253		5.0		5.0 
10479		7147		5.0		3.5 
10516		8370		3.5		3.5 
10516		41566		4.0		3.5 
10516		41569		3.5		4.0 
10563		733		3.5		4.5 
10674		51709		4.0		4.0 
10674		47122		3.5		3.0 
10674		3617		3.0		3.5 
10674		49526		3.0		3.0 
10739		40583		4.0		2.5 
10931		2287		4.5		4.0 
10986		36529		3.0		4.0 
10986		7034		2.5		4.0 
10986		2706		2.5		2.5 
11032		3038		5.0		5.0 
11114		6539		4.5		4.0 
11114		35836		4.5		5.0 
11114		4306		3.5		3.5 
11114		4890		3.0		3.0 
11114		4085		4.0		4.0 
11114		4963		4.0		4.0 
11114		1136		4.5		4.0 
11114		3039		4.0		4.0 
11114		2571		4.5		5.0 
11114		5952		4.5		4.0 
11114		3481		3.5		3.0 
11114		8360		4.0		4.0 
11114		52973		5.0		5.0 
11114		1079		5.0		5.0 
11114		1291		4.0		4.0 
11114		1210		4.0		4.5 
11114		1278		4.5		5.0 
11114		1198		4.5		5.0 
11114		2115		3.5		3.5 
11114		46970		5.0		4.5 
11114		8984		3.0		2.5 
11114		51255		4.5		5.0 
11114		5296		3.5		2.5 
11114		8641		5.0		5.0 
11114		6502		4.5		5.0 
11114		8874		4.5		4.5 
11114		7153		4.5		4.0 
11114		3671		4.5		5.0 
11114		6863		4.0		4.0 
11162		38038		5.0		4.0 
11162		1223		5.0		5.0 
11188		597		2.5		2.0 
11239		4446		3.5		4.5 
11240		2952		5.0		4.5 
11244		8665		5.0		4.0 
11255		1285		2.5		5.0 
11338		953		5.0		5.0 
11338		110		4.5		5.0 
11338		339		4.0		4.0 
11338		356		5.0		4.5 
11338		1265		5.0		4.5 
11411		44191		4.5		3.0 
11424		8368		5.0		4.5 
11457		1291		4.5		4.5 
11457		5816		5.0		5.0 
11510		3317		5.0		5.0 
11510		1259		5.0		5.0 
11515		53123		5.0		4.0 
11554		1307		5.0		4.5 
11569		44665		2.5		4.0 
11577		551		4.0		4.0 
11577		4979		3.5		3.5 
11577		924		3.5		3.5 
11613		6377		4.0		3.0 
11613		593		4.0		4.0 
11613		2692		3.5		4.0 
11613		5085		3.5		3.0 
11613		1266		4.0		4.0 
11613		4361		4.0		5.0 
11613		1302		4.0		4.0 
11613		1079		4.5		5.0 
11613		6060		3.5		3.0 
11613		3361		3.5		5.0 
11613		1219		4.0		2.5 
11613		608		3.5		5.0 
11613		4306		3.5		4.0 
11613		2763		3.0		5.0 
11613		32298		3.5		2.0 
11613		8397		3.5		4.5 
11613		1020		3.5		4.0 
11613		5991		4.5		4.5 
11613		5385		4.0		4.5 
11613		3035		4.0		5.0 
11613		1958		2.0		1.5 
11613		3671		4.0		5.0 
11613		912		4.0		5.0 
11613		4351		3.5		2.0 
11613		2194		3.5		4.0 
11613		235		4.0		4.0 
11613		7000		3.5		3.5 
11613		4448		4.0		4.0 
11613		7338		3.5		2.5 
11613		899		4.0		4.5 
11613		858		4.5		5.0 
11613		2474		3.5		3.0 
11613		1357		3.5		3.0 
11613		3252		2.5		3.0 
11613		293		4.0		4.0 
11613		2890		3.5		4.0 
11613		3996		3.5		4.0 
11613		1396		3.5		5.0 
11613		4054		3.5		2.5 
11613		356		3.0		2.0 
11613		4974		3.5		3.5 
11613		110		3.0		2.0 
11613		3871		4.0		4.5 
11613		4738		3.5		3.0 
11613		1204		4.0		4.0 
11613		3504		4.0		4.0 
11613		2858		4.0		4.0 
11613		2966		3.5		4.0 
11613		312		3.5		1.0 
11613		5226		3.5		1.5 
11613		8266		3.5		2.5 
11613		53993		3.0		2.0 
11613		1234		4.5		5.0 
11613		4322		4.0		4.0 
11613		1961		3.5		3.0 
11613		1287		3.5		3.0 
11613		3897		4.0		4.0 
11613		920		3.0		2.5 
11613		508		3.5		3.0 
11613		3396		3.5		5.0 
11728		4873		2.5		5.0 
11744		48774		4.0		4.0 
11744		34542		4.5		4.5 
11744		5952		5.0		5.0 
11744		36517		5.0		5.0 
11744		8966		4.0		4.0 
11744		356		5.0		5.0 
11744		4973		5.0		5.0 
11744		48394		4.0		4.0 
11744		1246		4.5		4.5 
11744		45950		3.5		4.0 
11744		8062		4.5		4.5 
11744		1136		5.0		5.0 
11744		3793		4.0		4.0 
11744		7361		5.0		5.0 
11744		6333		4.5		4.5 
11744		40414		5.0		4.0 
11744		64418		4.5		4.5 
11744		55814		5.0		5.0 
11744		55069		4.0		4.0 
11744		46578		5.0		5.0 
11802		1500		5.0		5.0 
11802		21		5.0		5.0 
11824		4223		4.0		4.5 
11898		4621		4.5		2.5 
11898		1136		3.0		5.0 
11898		50601		2.5		3.0 
11898		8622		2.5		0.5 
11898		953		4.0		5.0 
11898		8631		3.5		3.0 
11898		51540		4.0		3.5 
11898		448		3.5		5.0 
11898		6882		3.5		2.5 
11898		39307		3.5		3.5 
11898		5629		3.5		3.0 
11898		58103		3.0		3.0 
11898		7787		3.5		2.5 
11898		45208		3.5		2.0 
11898		1219		3.0		4.0 
11898		928		3.5		3.5 
11898		8914		2.5		3.0 
11898		1253		3.0		3.5 
11898		42011		2.5		3.0 
11898		1416		2.0		1.0 
11898		2905		3.0		1.0 
11898		4994		2.5		3.5 
11898		51471		3.5		3.5 
11898		1394		3.0		5.0 
11898		63876		3.5		0.5 
11898		2474		3.5		4.0 
11898		1936		3.5		3.5 
11898		48982		3.5		2.0 
11898		3363		3.5		4.0 
11898		59501		4.5		3.5 
11898		2186		4.0		4.0 
11898		48385		2.5		2.5 
